Time,num_cases
263.5,5369700
263.75,5369700
264,5369700
264.25,5369700
264.5,5369700
264.75,5369700
265,5369700
265.25,5369700
265.5,5369700
265.75,5369700
266,5369700
266.25,5369700
266.5,5369700
266.75,5369700
267,5369700
267.25,5369700
267.5,5369700
267.75,5369700
268,5369700
268.25,5369700
268.5,5369700
268.75,5369700
269,5369700
269.25,5369700
269.5,5369700
269.75,5369700
270,5369700
270.25,5369700
270.5,5369700
270.75,5369700
271,5369700
271.25,5369700
271.5,5369700
271.75,5369700
272,5369700
272.25,5369700
272.5,5369700
272.75,5369700
273,5369700
273.25,5369700
273.5,5369700
273.75,5369700
274,5369700
274.25,5369700
274.5,5369700
274.75,5369700
275,5369700
275.25,5369700
275.5,5369700
275.75,5369700
276,5369700
276.25,5369700
276.5,5369700
276.75,5369700
277,5369700
277.25,5369700
277.5,5369700
277.75,5369700
278,5369700
278.25,5369700
278.5,5369700
278.75,5369700
279,5369700
279.25,5369700
279.5,5369700
279.75,5369700
280,5369700
280.25,5369700
280.5,5369700
280.75,5369700
281,5369700
281.25,5369700
281.5,5369700
281.75,5369700
282,5369700
282.25,5369700
282.5,5369700
282.75,5369700
283,5369700
283.25,5369700
283.5,5369700
283.75,5369700
284,5369700
284.25,5369700
284.5,5369700
284.75,5369700
285,5369700
285.25,5369700
285.5,5369700
285.75,5369700
286,5369700
286.25,5369700
286.5,5369700
286.75,5369700
287,5369700
287.25,5369700
287.5,5369700
287.75,5369700
288,5369700
288.25,5369700
288.5,5369700
288.75,5369700
289,5369700
289.25,5369700
289.5,5369700
289.75,5369700
290,5369700
290.25,5369700
290.5,5369700
290.75,5369700
291,5369700
291.25,5369700
291.5,5369700
291.75,5369700
292,5369700
292.25,5369700
292.5,5369700
292.75,5369700
293,5369700
293.25,5369700
293.5,5369700
293.75,5369700
294,5369700
294.25,5369700
294.5,5369700
294.75,5369700
295,5369700
295.25,5369700
295.5,5369700
295.75,5369700
296,5369700
296.25,5369700
296.5,5369700
296.75,5369700
297,5369700
297.25,5369700
297.5,5369700
297.75,5369700
298,5369700
298.25,5369700
298.5,5369700
298.75,5369700
299,5369700
299.25,5369700
299.5,5369700
299.75,5369700
300,5369700
300.25,5369700
300.5,5369700
300.75,5369700
301,5369700
301.25,5369700
301.5,5369700
301.75,5369700
302,5369700
302.25,5369700
302.5,5369700
302.75,5369700
303,5369700
303.25,5369700
303.5,5369700
303.75,5369700
304,5369700
304.25,5369700
304.5,5369700
304.75,5369700
305,5369700
305.25,5369700
305.5,5369700
305.75,5369700
306,5369700
306.25,5369700
306.5,5369700
306.75,5369700
307,5369700
307.25,5369700
307.5,5369700
307.75,5369700
308,5369700
308.25,5369700
308.5,5369700
308.75,5369700
309,5369700
309.25,5369700
309.5,5369700
309.75,5369700
310,5369700
310.25,5369700
310.5,5369700
310.75,5369700
311,5369700
311.25,5369700
311.5,5369700
311.75,5369700
312,5369700
312.25,5369700
312.5,5369700
312.75,5369700
313,5369700
313.25,5369700
313.5,5369700
313.75,5369700
314,5369700
314.25,5369700
314.5,5369700
314.75,5369700
315,5369700
315.25,5369700
315.5,5369700
315.75,5369700
316,5369700
316.25,5369700
316.5,5369700
316.75,5369700
317,5369700
317.25,5369700
317.5,5369700
317.75,5369700
318,5369700
318.25,5369700
318.5,5369700
318.75,5369700
319,5369700
319.25,5369700
319.5,5369700
319.75,5369700
320,5369700
320.25,5369700
320.5,5369700
320.75,5369700
321,5369700
321.25,5369700
321.5,5369700
321.75,5369700
322,5369700
322.25,5369700
322.5,5369700
322.75,5369700
323,5369700
323.25,5369700
323.5,5369700
323.75,5369700
324,5369700
324.25,5369700
324.5,5369700
324.75,5369700
325,5369700
325.25,5369700
325.5,5369700
325.75,5369700
326,5369700
326.25,5369700
326.5,5369700
326.75,5369700
327,5369700
327.25,5369700
327.5,5369700
327.75,5369700
328,5369700
328.25,5369700
328.5,5369700
328.75,5369700
329,5369700
329.25,5369700
329.5,5369700
329.75,5369700
330,5369700
330.25,5369700
330.5,5369700
330.75,5369700
331,5369700
331.25,5369700
331.5,5369700
331.75,5369700
332,5369700
332.25,5369700
332.5,5369700
332.75,5369700
333,5369700
333.25,5369700
333.5,5369700
333.75,5369700
334,5369700
334.25,5369700
334.5,5369700
334.75,5369700
335,5369700
335.25,5369700
335.5,5369700
335.75,5369700
336,5369700
336.25,5369700
336.5,5369700
336.75,5369700
337,5369700
337.25,5369700
337.5,5369700
337.75,5369700
338,5369700
338.25,5369700
338.5,5369700
338.75,5369700
339,5369700
339.25,5369700
339.5,5369700
339.75,5369700
340,5369700
340.25,5369700
340.5,5369700
340.75,5369700
341,5369700
341.25,5369700
341.5,5369700
341.75,5369700
342,5369700
342.25,5369700
342.5,5369700
342.75,5369700
343,5369700
343.25,5369700
343.5,5369700
343.75,5369700
344,5369700
344.25,5369700
344.5,5369700
344.75,5369700
345,5369700
345.25,5369700
345.5,5369700
345.75,5369700
346,5369700
346.25,5369700
346.5,5369700
346.75,5369700
347,5369700
347.25,5369700
347.5,5369700
347.75,5369700
348,5369700
348.25,5369700
348.5,5369700
348.75,5369700
349,5369700
349.25,5369700
349.5,5369700
349.75,5369700
350,5369700
350.25,5369700
350.5,5369700
350.75,5369700
351,5369700
351.25,5369700
351.5,5369700
351.75,5369700
352,5369700
352.25,5369700
352.5,5369700
352.75,5369700
353,5369700
353.25,5369700
353.5,5369700
353.75,5369700
354,5369700
354.25,5369700
354.5,5369700
354.75,5369700
355,5369700
355.25,5369700
355.5,5369700
355.75,5369700
356,5369700
356.25,5369700
356.5,5369700
356.75,5369700
357,5369700
357.25,5369700
357.5,5369700
357.75,5369700
358,5369700
358.25,5369700
358.5,5369700
358.75,5369700
359,5369700
359.25,5369700
359.5,5369700
359.75,5369700
360,5369700
360.25,5369700
360.5,5369700
360.75,5369700
361,5369700
361.25,5369700
361.5,5369700
361.75,5369700
362,5369700
362.25,5369700
362.5,5369700
362.75,5369700
363,5369700
363.25,5369700
363.5,5369700
363.75,5369700
364,5369700
364.25,5369700
364.5,5369700
364.75,5369700
