Time,num_recovered
359,7966343
359.25,7966343
359.5,7966343
359.75,7966343
360,7966343
360.25,7966343
360.5,7966343
360.75,7966343
361,7966343
361.25,7966343
361.5,7966343
361.75,7966343
362,7966343
362.25,7966343
362.5,7966343
362.75,7966343
363,7966343
363.25,7966343
363.5,7966343
363.75,7966343
364,7966343
364.25,7966343
364.5,7966343
364.75,7966343
