Time,num_cumulative_hospitalizations
296.75,358283
297,358283
297.25,358283
297.5,358283
297.75,358283
298,358283
298.25,358283
298.5,358283
298.75,358283
299,358283
299.25,358283
299.5,358283
299.75,358283
300,358283
300.25,358283
300.5,358283
300.75,358283
301,358283
301.25,358283
301.5,358283
301.75,358283
302,358283
302.25,358283
302.5,358283
302.75,358283
303,358283
303.25,358283
303.5,358283
303.75,358283
304,358283
304.25,358283
304.5,358283
304.75,358283
305,358283
305.25,358283
305.5,358283
305.75,358283
306,358283
306.25,358283
306.5,358283
306.75,358283
307,358283
307.25,358283
307.5,358283
307.75,358283
308,358283
308.25,358283
308.5,358283
308.75,358283
309,358283
309.25,358283
309.5,358283
309.75,358283
310,358283
310.25,358283
310.5,358283
310.75,358283
311,358283
311.25,358283
311.5,358283
311.75,358283
312,358283
312.25,358283
312.5,358283
312.75,358283
313,358283
313.25,358283
313.5,358283
313.75,358283
314,358283
314.25,358283
314.5,358283
314.75,358283
315,358283
315.25,358283
315.5,358283
315.75,358283
316,358283
316.25,358283
316.5,358283
316.75,358283
317,358283
317.25,358283
317.5,358283
317.75,358283
318,358283
318.25,358283
318.5,358283
318.75,358283
319,358283
319.25,358283
319.5,358283
319.75,358283
320,358283
320.25,358283
320.5,358283
320.75,358283
321,358283
321.25,358283
321.5,358283
321.75,358283
322,358283
322.25,358283
322.5,358283
322.75,358283
323,358283
323.25,358283
323.5,358283
323.75,358283
324,358283
324.25,358283
324.5,358283
324.75,358283
325,358283
325.25,358283
325.5,358283
325.75,358283
326,358283
326.25,358283
326.5,358283
326.75,358283
327,358283
327.25,358283
327.5,358283
327.75,358283
328,358283
328.25,358283
328.5,358283
328.75,358283
329,358283
329.25,358283
329.5,358283
329.75,358283
330,358283
330.25,358283
330.5,358283
330.75,358283
331,358283
331.25,358283
331.5,358283
331.75,358283
332,358283
332.25,358283
332.5,358283
332.75,358283
333,358283
333.25,358283
333.5,358283
333.75,358283
334,358283
334.25,358283
334.5,358283
334.75,358283
335,358283
335.25,358283
335.5,358283
335.75,358283
336,358283
336.25,358283
336.5,358283
336.75,358283
337,358283
337.25,358283
337.5,358283
337.75,358283
338,358283
338.25,358283
338.5,358283
338.75,358283
339,358283
339.25,358283
339.5,358283
339.75,358283
340,358283
340.25,358283
340.5,358283
340.75,358283
341,358283
341.25,358283
341.5,358283
341.75,358283
342,358283
